latitude,longitude,dbscan_cluster,hdbscan_cluster
51.45845,-0.012395,0,131
53.842841,-1.775093,0,120
52.68708,-2.472394,0,37
50.793572,0.270108,0,53
54.991989,-1.483347,0,20
52.970871,-2.675137,0,-1
53.91359,-3.043595,0,71
51.478453,-0.065271,0,-1
51.354683,-2.990307,0,44
50.925899,-1.141674,0,-1
51.658379,-0.399475,0,123
54.872912,-6.284799,1,0
52.993131,-3.941631,0,-1
51.09008,-2.268913,0,-1
50.854054,-1.770219,0,-1
53.440467,-2.929319,0,96
51.375169,-0.206759,0,-1
51.43866,-0.062493,0,-1
51.333089,0.803516,0,-1
54.567259,-0.939151,0,-1
54.59987,-5.676833,1,0
50.732516,-1.942136,0,57
53.148021,-1.199415,0,97
53.809847,-1.636044,0,121
51.315128,-2.203709,0,-1
53.762231,-2.486673,0,69
53.308202,-3.257886,0,-1
53.07244,-3.017661,0,68
51.734402,-4.71538,0,5
52.592209,-1.987498,0,83
51.958277,-0.718632,0,60
54.980709,-1.423039,0,20
51.650913,-0.155296,0,-1
51.15599,-0.163049,0,110
51.313823,-0.597325,0,-1
52.632111,-1.135723,0,90
50.988476,-1.363508,0,63
51.59549,-0.108208,0,-1
51.444187,0.039482,0,-1
53.273002,-3.22482,0,-1
55.181198,-1.555572,0,15
51.520065,-0.359919,0,126
52.996367,-1.25454,0,-1
52.474,-1.977829,0,83
51.617693,-0.110491,0,-1
54.639374,-3.554609,0,4
55.021665,-1.552333,0,-1
51.529179,-3.150776,0,28
51.531423,0.019387,0,135
52.577193,-2.046524,0,83
52.485,-1.811422,0,83
51.542274,0.19525,0,-1
50.976675,-0.945495,0,-1
53.116849,-1.262553,0,97
51.54434,-0.128343,0,-1
52.405621,-1.92912,0,83
52.501195,-1.7926,0,83
51.710253,-1.98134,0,-1
52.672256,-1.822168,0,-1
51.527088,-0.093427,0,138
51.87263,-0.768669,0,62
53.742762,-0.337061,0,32
53.881983,-3.032599,0,71
51.977242,-0.737121,0,60
51.570536,0.006531,0,-1
50.875313,-1.003173,0,73
50.400946,-4.151822,0,8
52.978076,-1.222114,0,100
52.5982,-0.230646,0,40
53.77207,-2.591251,0,65
54.655661,-1.675852,0,12
52.539195,-1.884615,0,83
51.641909,-4.101131,0,24
52.597735,-1.083337,0,90
54.095971,-1.401664,0,-1
52.611011,-2.126917,0,83
51.514012,-0.131078,0,139
53.109554,-2.032077,0,-1
51.495605,-0.553966,0,122
51.541722,-2.39758,0,-1
52.969176,-1.197809,0,100
51.508578,-3.575518,0,24
52.391525,-1.445907,0,86
50.610028,-1.976388,0,-1
51.461847,-0.012233,0,131
53.323232,-1.992349,0,-1
52.206166,-2.200696,0,74
51.321069,-0.136699,0,-1
51.345444,-0.037852,0,-1
52.547293,-1.874242,0,83
51.356952,1.022838,0,59
51.584891,-1.753104,0,22
51.250745,-1.11604,0,66
54.350788,-6.279462,1,0
51.407595,-0.367454,0,-1
51.501678,0.005654,0,-1
52.967604,-2.692953,0,-1
51.492164,-0.159359,0,-1
51.51483,-0.083349,0,138
51.336732,-0.188695,0,-1
54.973882,-1.40114,0,-1
51.652508,-3.991983,0,24
52.078018,-1.277905,0,23
53.777101,-0.993698,0,-1
53.412793,-2.93693,0,96
51.483452,0.41696,0,-1
54.591245,-6.213873,1,0
51.901807,-0.201087,0,101
51.595972,-0.242766,0,-1
51.433143,-2.498109,0,48
51.447195,-0.416454,0,-1
52.288309,-1.53595,0,85
51.536275,-0.19147,0,-1
52.474454,-2.039927,0,83
51.187091,-0.599401,0,-1
54.571542,-1.296206,0,13
53.386941,-2.835217,0,96
52.996577,-1.136243,0,100
50.732624,-1.858706,0,57
51.508914,-3.204244,0,28
51.34758,-2.978423,0,44
52.043364,-0.683772,0,60
51.511367,-2.573447,0,48
52.617923,-2.03836,0,83
55.01347,-1.439504,0,20
50.82061,-0.372875,0,78
51.652485,-0.083341,0,-1
50.76218,0.283152,0,53
51.160202,-3.321344,0,-1
51.51765,-0.707801,0,-1
52.496319,-2.134525,0,83
53.811845,-1.519406,0,121
52.57127,-2.083689,0,83
53.057742,-2.965897,0,68
50.437083,-3.566798,0,18
52.580779,-1.541769,0,-1
52.536064,-1.836547,0,83
51.533198,-2.584361,0,48
51.441874,0.367845,0,124
51.525397,-0.046444,0,-1
54.683042,-1.223892,0,14
53.405511,-0.775375,0,45
52.980625,-1.181422,0,100
50.723322,-1.154134,0,-1
51.560652,-0.110346,0,-1
54.704511,-1.229457,0,14
52.946983,-1.146369,0,100
52.180624,-1.983794,0,-1
51.771102,0.094772,0,106
51.478032,-0.07357,0,-1
53.791753,-1.829284,0,120
50.99755,0.178617,0,-1
50.541947,-4.149032,0,8
53.789909,-1.755963,0,120
51.982781,0.96155,0,-1
50.727492,-3.068988,0,-1
51.569445,0.507789,0,102
53.071176,-1.296915,0,-1
51.492007,-0.380474,0,126
51.356867,-2.142859,0,-1
52.41208,-1.499252,0,86
52.882787,-1.482674,0,94
51.577574,-0.229029,0,-1
53.220573,-1.407279,0,107
51.482615,-0.200708,0,-1
54.535519,-3.567799,0,4
54.978835,-1.792014,0,-1
54.158194,-3.180402,0,7
51.666184,-3.804681,0,24
53.133058,-1.24688,0,97
51.501756,-0.184091,0,-1
51.362279,0.028142,0,-1
52.227242,-0.287279,0,-1
51.530907,-0.071843,0,-1
53.322203,-1.133917,0,-1
52.284649,-2.483932,0,-1
52.75657,-1.938629,0,-1
51.609027,0.084817,0,-1
51.947477,-3.567125,0,-1
53.383806,-1.443835,0,117
52.475418,-1.74075,0,83
51.587499,0.069555,0,-1
53.64534,-1.786642,0,115
52.139675,-0.471169,0,61
51.469668,-0.493668,0,-1
55.075267,-1.58002,0,-1
53.161145,-2.992373,0,-1
51.010007,0.976102,0,-1
51.601255,-0.054381,0,-1
53.774774,-1.789356,0,120
51.251556,-0.736738,0,88
53.70816,-1.27789,0,108
52.937938,-1.444997,0,94
50.904918,-1.336047,0,63
51.216076,-1.473656,0,-1
52.647213,-1.926145,0,83
51.489502,-3.710519,0,-1
50.840458,-0.249823,0,77
51.440771,0.084902,0,-1
51.481096,-3.163908,0,28
53.571635,-1.016734,0,-1
51.578772,-3.238821,0,28
53.824565,-1.778062,0,120
52.594332,-2.55904,0,-1
